Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
sub_87DE2	ROM	00087DE2	00000016			R	.	.	.	.	.	.	.
sub_87DF8	ROM	00087DF8	00000070			R	.	.	.	.	.	.	.
sub_87E68	ROM	00087E68	000002F2			R	.	.	.	.	.	.	.
sub_8815A	ROM	0008815A	00000040	00000008		R	.	.	.	.	.	.	.
sub_8819A	ROM	0008819A	000000B2			R	.	.	.	.	.	.	.
sub_8824C	ROM	0008824C	00000094	00000008		R	.	.	.	.	.	.	.
sub_882E0	ROM	000882E0	00000146			R	.	.	.	.	.	.	.
sub_88426	ROM	00088426	00000092			R	.	.	.	.	.	.	.
sub_884B8	ROM	000884B8	00000016			R	.	.	.	.	.	.	.
sub_884CE	ROM	000884CE	0000004E			R	.	.	.	.	.	.	.
sub_8851C	ROM	0008851C	0000013A			R	.	.	.	.	.	.	.
sub_88656	ROM	00088656	0000001C			R	.	.	.	.	.	.	.
Sub_Interesting_88672	ROM	00088672	00000432	00000024		R	.	.	.	.	B	.	.
sub_88AA4	ROM	00088AA4	000004A4			R	.	.	.	.	.	.	.
sub_88F48	ROM	00088F48	0000057A			R	.	.	.	.	.	.	.
sub_894C2	ROM	000894C2	000001F4			R	.	.	.	.	.	.	.
sub_896B6	ROM	000896B6	0000004A	0000001C		R	.	.	.	.	B	.	.
sub_89A7E	ROM	00089A7E	00000948	00000038		R	.	.	.	.	B	.	.
sub_8A3C6	ROM	0008A3C6	000001E6			R	.	.	.	.	.	.	.
sub_8A5AC	ROM	0008A5AC	00000086			R	.	.	.	.	.	.	.
sub_8A632	ROM	0008A632	00000066			R	.	.	.	.	.	.	.
sub_8A698	ROM	0008A698	0000003C			R	.	.	.	.	.	.	.
sub_8A6D4	ROM	0008A6D4	00000024			R	.	.	.	.	.	.	.
sub_8A6F8	ROM	0008A6F8	0000023C			R	.	.	.	.	.	.	.
sub_8A970	ROM	0008A970	000001FC			R	.	.	.	.	.	.	.
sub_8AC1C	ROM	0008AC1C	00000272			R	.	.	.	.	.	.	.
sub_8AE8E	ROM	0008AE8E	0000014E			R	.	.	.	.	.	.	.
sub_8B002	ROM	0008B002	00000200			R	.	.	.	.	.	.	.
sub_8B202	ROM	0008B202	00000156			R	.	.	.	.	.	.	.
sub_8B358	ROM	0008B358	000000E2			R	.	.	.	.	.	.	.
sub_8B43A	ROM	0008B43A	00000104			R	.	.	.	.	.	.	.
sub_8B53E	ROM	0008B53E	000002A4			R	.	.	.	.	.	.	.
sub_8B80A	ROM	0008B80A	000006E4			R	.	.	.	.	.	.	.
sub_8BEEE	ROM	0008BEEE	00000110			R	.	.	.	.	.	.	.
sub_8C04C	ROM	0008C04C	000000EA			R	.	.	.	.	.	.	.
sub_8C136	ROM	0008C136	00000156			R	.	.	.	.	.	.	.
sub_8C28C	ROM	0008C28C	000000EC			R	.	.	.	.	.	.	.
sub_8C432	ROM	0008C432	00000300			R	.	.	.	.	.	.	.
nullsub_2	ROM	0008C732	00000002			R	.	.	.	.	.	.	.
sub_8C734	ROM	0008C734	00000078			R	.	.	.	.	.	.	.
sub_8C7AC	ROM	0008C7AC	00000012			R	.	.	.	.	.	.	.
sub_8C7BE	ROM	0008C7BE	00000012			R	.	.	.	.	.	.	.
sub_8C7D0	ROM	0008C7D0	0000000E			R	.	.	.	.	.	.	.
sub_8C81C	ROM	0008C81C	00000036	0000000C		R	.	.	.	.	B	.	.
sub_8C8C8	ROM	0008C8C8	000000B8			R	.	.	.	.	.	.	.
Pause_Function	ROM	0008C980	00000222			R	.	.	.	.	.	.	.
