Name	Address	Public
Ecco_Tail_Obj_Right_Sensor_Y	00FFA984	
Eccco_Head_Obj_Base_Pointer	00FFA9CC	
Ecco_Tail_Obj_Base_Pointer	00FFA9D0	
Ecco_Object_Base	00FFA9D4	
Ecco_X_Water_Drag?	00FFA9D6	
Ecco_Y_Water_Drag?	00FFA9DA	
Ecco_Health	00FFAA16	
Ecco_Air_Timer	00FFAA18	
Ecco_Playfield_X	00FFAA1A	
Ecco_Playfield_Y	00FFAA1E	
Ecco_Nosehole_Sensor_X?	00FFAA22	
Ecco_Nosehole_Sensor_Y?	00FFAA26	
Ecco_Butt_Sensor_X?	00FFAA2A	
Ecco_Butt_Sensor_Y?	00FFAA2E	
Ecco_X_Velocity?	00FFAA36	
Ecco_Y_Velocity?	00FFAA3A	
Ecco_Angle?	00FFAA52	
Ecco_Playfield_X_Copy1	00FFAA5C	
Ecco_Playfield_Y_Copy1	00FFAA60	
Table_Ecco_Previous_X_Investivates	00FFAA84	
Table_Ecco_Previous_Y_Investivates	00FFAAC4	
Player_X_Chunk	00FFAB68	
Player_Y_Chunk	00FFAB6A	
Assume_Camera_X_Main?	00FFAD84	
Assume_Camera_Y_Main?	00FFAD88	
Cam_X_Similiar?	00FFAD8C	
Cam_Y_Similiar?	00FFAD90	
Camera_X_COPY_AD9C?	00FFAD9C	
Camera_Y_Copy_AD9E?	00FFAD9E	
Level_X_Min	00FFADBA	
Level_X_Max_Width	00FFADBE	
Level_Y_Min	00FFADC2	
Level_Y_Max_Height	00FFADC6	
Camera_Y_Upper_Word	00FFAE06	
Camera_X_Upper_Word	00FFAE08	
Level_Width_Copy_Upper_Word_Divided_By_128_Signed	00FFAE52	
Level_Height_Copy_Upper_Word_Divided_By_128_Signed	00FFAE54	
Regular_Object_Node_Pointer?	00FFCFB8	
